review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
98004,88073,7/10/2019,7/1/2019,3483,1150,4740,42,American Airlines,TRUE,Economy Class,Business,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
38386,88376,4/19/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Null,4,5,5,1,Null,Null,5,TRUE,4,good,36:29.0,18:17.5
60850,88722,11/24/2016,11/1/2016,1150,4326,2857,42,American Airlines,FALSE,First Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
100413,89021,8/30/2019,8/1/2019,2847,3104,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
79184,89335,5/17/2018,5/1/2018,4884,2857,4740,42,American Airlines,TRUE,Economy Class,Business,Null,Null,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
93467,89582,4/2/2019,3/1/2019,834,2501,4740,42,American Airlines,TRUE,Economy Class,Business,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
35674,89906,1/21/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Null,2,1,1,1,Null,Null,1,FALSE,1.2,bad,36:29.0,18:17.5
37049,89906,3/9/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Business Class,Null,1,1,1,1,Null,Null,1,FALSE,1,bad,36:29.0,18:17.5
137662,90003,5/14/2023,5/1/2023,1092,4884,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,Null,Null,1,Null,1,FALSE,1,bad,36:29.0,18:17.5
106965,90040,1/27/2020,1/1/2020,1150,418,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,2,3,3,1,2,1,4,FALSE,2.29,medium,36:29.0,18:17.5
111322,90076,10/22/2020,10/1/2020,1092,3910,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,1,2,1,1,1,1,1,FALSE,1.14,bad,36:29.0,18:17.5
118489,90281,12/20/2021,12/1/2021,1678,1150,1092,42,American Airlines,FALSE,Economy Class,Family Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
131449,90553,12/3/2022,11/1/2022,4049,721,3483,4,American Airlines,FALSE,First Class,Couple Leisure,4,1,1,3,5,3,1,FALSE,2.57,medium,36:29.0,18:17.5
48482,90646,12/11/2015,12/1/2015,2756,4429,3473,7,American Airlines,FALSE,Economy Class,Solo Leisure,4,3,2,3,5,3,5,TRUE,3.57,medium,36:29.0,18:17.5
100086,90744,8/23/2019,8/1/2019,1128,834,2501,42,American Airlines,FALSE,Premium Economy,Couple Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
127463,90768,8/28/2022,8/1/2022,3971,1092,4740,42,American Airlines,TRUE,Economy Class,Business,1,2,1,1,1,1,1,FALSE,1.14,bad,36:29.0,18:17.5
95179,90923,5/8/2019,5/1/2019,3104,2617,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,2,4,4,5,1,2,3,FALSE,3,medium,36:29.0,18:17.5
95550,91157,5/16/2019,5/1/2019,3105,3509,4740,42,American Airlines,TRUE,First Class,Business,3,1,2,2,2,3,1,FALSE,2,medium,36:29.0,18:17.5
76392,275,3/1/2018,10/1/2017,1147,3137,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,3,2,3,3,2,2,2,FALSE,2.43,medium,36:29.0,18:17.5
39526,357,5/31/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Null,2,2,1,1,Null,Null,1,FALSE,1.4,bad,36:29.0,18:17.5
